ドン・キホーテ大宮東口店,〒330-0802,埼玉県さいたま市大宮区宮町1-60,TEL:048-658-8211
ドラッグストアセキ鷲宮西店,〒340-0214,埼玉県久喜市葛梅2-20-2,TEL:0480-57-0686
MEGAドン・キホーテ 三郷店,〒341-0021,埼玉県三郷市さつき平1-1-1,TEL:0489-59-3810
セキ薬局 三郷戸ヶ崎店,〒341-0044,埼玉県三郷市戸ヶ崎3-593,TEL:048-948-6979
セキ薬局 平沼店,〒342-0056,埼玉県吉川市中央三丁目2番地7,TEL:048-984-1300
セキ薬局 東越谷店,〒343-0023,埼玉県越谷市東越谷10-48-1,TEL:048-967-7010
セキ薬局 大袋店,〒343-0035,埼玉県越谷市大道657-2,TEL:048-993-4700
ドラッグストアセキ千間台店,〒343-0042,埼玉県越谷市千間台東3-28-7,TEL:048-979-4004
セキ薬局 弥十郎店,〒343-0047,埼玉県越谷市弥十郎678-1,TEL:048-972-5125
イオンスタイルレイクタウン,〒343-0828,埼玉県越谷市レイクタウン3-1-1,TEL:048-930-7000
イオン南越谷店,〒343-0845,埼玉県越谷市南越谷1-2876-1,TEL:048-985-6461
セキ薬局 春日部大沼店,〒344-0038,埼玉県春日部市大沼3-118,TEL:048-793-7550
セキ薬局豊春店,〒344-0045,埼玉県春日部市道口蛭田１８０−１,TEL:048-755-1269
MEGAドン・キホーテ 春日部店,〒344-0048,埼玉県春日部市南中曽根895-1,TEL:048-760-3311
セキ薬局 春日部緑町店,〒344-0063,埼玉県春日部市緑町6-3-24,TEL:048-878-9873
セキ薬局 春日部中央店,〒344-0067,埼玉県春日部市中央3-11-2,TEL:048-755-7150
イオンモール春日部店,〒344-0122,埼玉県春日部市下柳420-1,TEL:048-718-3000
ドラッグストアセキ杉戸店,〒345-0025,埼玉県北葛飾郡杉戸町清地4-7-18,TEL:0480-35-0223
セキ薬局 新杉戸店,〒345-0036,埼玉県北葛飾郡杉戸町杉戸2-3-3,TEL:0480-37-0700
セキ薬局 ピアシティ宮代店,〒345-0811,埼玉県南埼玉郡宮代町道佛1-1-50,TEL:048-047-0388
セキ薬局 宮代店,〒345-0822,埼玉県南埼玉郡宮代町笠原2-2-2,TEL:048-053-3589
セキ薬局 久喜中央店,〒346-0005,埼玉県久喜市本町8-5-35,TEL:0480-29-5300
セキ薬局 久喜東２号店,〒346-0016,埼玉県久喜市久喜東4-22-10,TEL:048-031-8390
セキ薬局 加須店,〒347-0009,埼玉県加須市三俣2-15-4,TEL:048-048-5585
ドン・キホーテUNY 大桑店,〒347-0019,埼玉県加須市鳩山町10番地10,TEL:0480-66-3411
ドラッグストアセキ羽生店,〒348-0053,埼玉県羽生市南4丁目8番41号,TEL:048-560-2211
MEGAドン・キホーテ 蓮田店,〒349-0111,埼玉県蓮田市東4-5-13,TEL:048-765-3810
セキ薬局 白岡中央店,〒349-0217,埼玉県白岡市小久喜980-1,TEL:0480-90-5522
セキ薬局 南栗橋店,〒349-1117,埼玉県久喜市南栗橋8-2-9,TEL:0480-55-2100
ドラッグストアセキ栗橋店,〒349-1121,埼玉県久喜市伊坂南1-3-35,TEL:0480-55-3166
セキ薬局 南古谷店,〒350-0023,埼玉県川越市並木854-6,TEL:049-293-3877
ドン・キホーテ川越店,〒350-0031,埼玉県川越市小仙波938-2,TEL:049-223-1751
中央コンタクト 川越,〒350-1122,埼玉県川越市脇田町3-5MAYAビル1階,TEL:049-223-3040
ドン・キホーテ川越東口店,〒350-1122,埼玉県川越市脇田町4-2,TEL:049-228-7111
セキ薬局 新宿町店,〒350-1124,埼玉県川越市新宿町3-6-1,TEL:049-257-4952
セキ薬局 新河岸店,〒350-1137,埼玉県川越市大字砂新田93,TEL:049-293-2320
セキ薬局 武蔵高萩店,〒350-1213,埼玉県日高市高萩2286-1,TEL:042-980-7978
セキ薬局 高麗川店,〒350-1249,埼玉県日高市高麗川2-25-1,TEL:042-978-7293
セキ薬局 狭山市店,〒350-1307,埼玉県狭山市祇園26-35,TEL:04-2941-6311
セキ薬局 脚折町店,〒350-2211,埼玉県鶴ヶ島市脚折町6-4-30,TEL:049-279-0500
ドン・キホーテ鶴ヶ島店,〒350-2219,埼玉県鶴ヶ島市三ツ木新町２丁目8−３ 1F,TEL:0570-084-711
ベイシアひだかモール店,〒350-1211,埼玉県日高市森戸新田字藤久保８８−５,TEL:042-985-3000
セキ薬局藤金店,〒350-2206,埼玉県鶴ヶ島市藤金８９７−５,TEL:049-279-7200
ドン・キホーテ新座野火止店,〒352-0011,埼玉県新座市野火止4-1-77,TEL:048-480-6311
セキ薬局 みずほ台店,〒354-0011,埼玉県富士見市大字水子4660-2,TEL:049-268-1200
MEGAドン・キホーテ 東松山店,〒355-0072,埼玉県東松山市石橋1648-1,TEL:0493-27-8711
セキ薬局 つきのわ店,〒355-0815,埼玉県比企郡滑川町月の輪5-27-1,TEL:0493-61-0310
イオンスタイルふじみ野店,〒356-0011,埼玉県ふじみ野市福岡2-1-6,TEL:049-278-7111
ドン・キホーテ入間店,〒358-0026,埼玉県入間市小谷田2-3-33,TEL:04-2901-7211
セキ薬局武蔵藤沢店,〒358-0011,埼玉県入間市大字下藤沢5-5-2,TEL:04-2968-9105
セキ薬局 中富南店,〒359-0003,埼玉県所沢市中富南2-25-5,TEL:04-2935-4752
ドン・キホーテ東所沢店,〒359-0025,埼玉県所沢市上安松 字茨原1237-24,TEL:0570-028-611
アインズ＆トルペグランエミオ所沢店,〒359-0037,埼玉県所沢市くすのき台1丁目14-5グランエミオ所沢2F,TEL:04-2968-7165
セキ薬局 向陽町店,〒359-1103,埼玉県所沢市向陽町2137-1,TEL:04-2902-6942
アドコンタクト所沢店,〒359-1123,埼玉県所沢市日吉町8丁目3YSビル1階,TEL:04-2925-9131
Vanilla 所沢店,〒359-1123,埼玉県所沢市日吉町10丁目１９カネショウストア1階,TEL:04-2936-6224
セキ薬局 宮本町店,〒359-1143,埼玉県所沢市宮本町2-23-30,TEL:04-2903-3100
ドン・キホーテ所沢宮本町店,〒359-1143,埼玉県所沢市宮本町２丁目２５−１５,TEL:0570-032-711
ドン・キホーテ行田持田インター店,〒361-0056,埼玉県行田市大字持田2160-1,TEL:048-564-8011
ドン・キホーテ北上尾ＰＡＰＡ店,〒362-0015,埼玉県上尾市緑丘3-3-11-1PAPA上尾ｼｮｯﾋﾟﾝｸﾞｱｳﾞｪﾆｭｰﾌﾟﾘﾝｽ棟1階,TEL:048-779-3601
イオンスタイル上尾店,〒362-0034,埼玉県上尾市愛宕3-8-1,TEL:048-770-3800
ハートアップイオンモール上尾,〒362-0034,埼玉県上尾市愛宕3-8-1イオンモール上尾2階,TEL:048-788-4169
セキ薬局 柏座店,〒362-0075,埼玉県上尾市柏座4-6-14,TEL:048-778-0822
セキ薬局沼南店,〒362-0026,埼玉県上尾市原市北１丁目１−１,TEL:048-720-1550
セキ薬局 東間店,〒364-0007,埼玉県北本市東間6-20,TEL:048-501-8441
セキ薬局 鴻巣免許センター前店,〒365-0028,埼玉県鴻巣市鴻巣724-1,TEL:048-594-7400
MEGAドン・キホーテ 北鴻巣店,〒365-0062,埼玉県鴻巣市箕田3111-1,TEL:0485-96-3810
MEGAドン・キホーテUNY 本庄店,〒367-0048,埼玉県本庄市南一丁目2番10号,TEL:0495-24-7311
